"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","词条基础浏览","页面交互","0","0","5","0","0"
"","词条基础浏览","正文展示","0","0","7","0","0"
"","词条基础浏览","浏览器兼容","0","0","3","0","0"
"","词条基础浏览","目录导航","0","0","3","0","0"
"","词条基础浏览","侧边栏","0","0","2","0","0"
"","词条基础浏览","页面底部","0","0","1","0","0"
"","首页登录弹窗","登录弹窗","0","0","1","0","0"
"","词条基础浏览","参考资料","0","0","2","0","0"
"","词条基础浏览","编辑功能","0","0","1","0","0"
"","词条基础浏览","分享功能","0","0","1","0","0"
"","首页导航","导航跳转","0","0","1","0","0"
"","词条基础浏览","信息卡片","0","0","1","0","0"
"","词条基础浏览","概述展示","0","0","1","0","0"
"","词条基础浏览","历史版本","0","0","1","0","0"
"","词条基础浏览","标题展示","0","0","1","0","0"
"","词条基础浏览","多义词切换","0","0","1","0","0"
